id,titulo,autor,genero,anio
1,El nombre del viento,Patrick Rothfuss,Fantasía,2007
2,1984,George Orwell,Ciencia Ficción,1949
3,Cien años de soledad,Gabriel García Márquez,Realismo Mágico,1967
4,La sombra del viento,Carlos Ruiz Zafón,Misterio,2001
5,Orgullo y prejuicio,Jane Austen,Romance,1813
6,El código Da Vinci,Dan Brown,Thriller,2003
7,Harry Potter y la piedra filosofal,J.K. Rowling,Fantasía,1997
8,El señor de los anillos,J.R.R. Tolkien,Fantasía,1954
9,Don Quijote de la Mancha,Miguel de Cervantes,Clásico,1605
10,La ladrona de libros,Markus Zusak,Histórico,2005
11,El Hobbit,J.R.R. Tolkien,Fantasía,1937
12,Crónica de una muerte anunciada,Gabriel García Márquez,Realismo Mágico,1981
13,El psicoanalista,John Katzenbach,Thriller,2002
14,El perfume,Patrick Süskind,Misterio,1985
15,Jane Eyre,Charlotte Brontë,Romance,1847
16,Moby Dick,Herman Melville,Aventura,1851
17,El retrato de Dorian Gray,Oscar Wilde,Clásico,1890
18,La guerra de los mundos,H.G. Wells,Ciencia Ficción,1898
19,Fahrenheit 451,Ray Bradbury,Ciencia Ficción,1953
20,El principito,Antoine de Saint-Exupéry,Infantil,1943
21,La catedral del mar,Ildefonso Falcones,Histórico,2006
22,Los pilares de la tierra,Ken Follett,Histórico,1989
23,Drácula,Bram Stoker,Terror,1897
24,It,Stephen King,Terror,1986
25,Carrie,Stephen King,Terror,1974
26,El código Da Vinci,Dan Brown,Thriller,2003
27,Ángeles y demonios,Dan Brown,Thriller,2000
28,El símbolo perdido,Dan Brown,Thriller,2009
29,La chica del tren,Paula Hawkins,Misterio,2015
30,Perdida,Gillian Flynn,Misterio,2012
31,El gran Gatsby,F. Scott Fitzgerald,Clásico,1925
32,En busca del tiempo perdido,Marcel Proust,Clásico,1913
33,Los juegos del hambre,Suzanne Collins,Fantasía,2008
34,Crepúsculo,Stephenie Meyer,Fantasía,2005
35,Cazadores de sombras,Cassandra Clare,Fantasía,2007
36,El corredor del laberinto,James Dashner,Fantasía,2009
37,Ready Player One,Ernest Cline,Ciencia Ficción,2011
38,Neuromante,William Gibson,Ciencia Ficción,1984
39,La carretera,Cormac McCarthy,Ciencia Ficción,2006
40,El libro de los Baltimore,Joël Dicker,Misterio,2015
41,El tatuador de Auschwitz,Heather Morris,Histórico,2018
42,La ladrona de libros,Markus Zusak,Histórico,2005
43,La sombra del viento,Carlos Ruiz Zafón,Misterio,2001
44,El juego de Ender,Orson Scott Card,Ciencia Ficción,1985
45,Siddhartha,Hermann Hesse,Filosófico,1922
46,El alquimista,Paulo Coelho,Filosófico,1988
47,El monje que vendió su Ferrari,Robin Sharma,Filosófico,1997
48,El poder del ahora,Eckhart Tolle,Filosófico,1997
49,Los cuatro acuerdos,Miguel Ruiz,Filosófico,1997
50,La magia del orden,Marie Kondo,Autoayuda,2010
51,Piensa y hazte rico,Napoleon Hill,Autoayuda,1937
52,Cómo ganar amigos y influir sobre las personas,Dale Carnegie,Autoayuda,1936
53,El hombre en busca de sentido,Victor Frankl,Filosófico,1946
54,El código Da Vinci,Dan Brown,Thriller,2003
